Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,27-11-2024 17:59:32,27-11-2024 17:59:32,0.000s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,27-11-2024 17:59:32,27-11-2024 17:59:32,0.044s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,27-11-2024 17:59:32,27-11-2024 17:59:32,0.001s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:59:32,27-11-2024 17:59:37,5.001s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:59:37,27-11-2024 17:59:37,0.069s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:59:37,27-11-2024 17:59:40,3.011s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,27-11-2024 17:59:40,27-11-2024 17:59:40,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box one more time,,27-11-2024 17:59:40,27-11-2024 17:59:40,0.066s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:59:40,27-11-2024 17:59:44,4.008s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), invalidSearchKeywords)",Chrome 131.0.0.0,Enter invalid search keywords,,27-11-2024 17:59:44,27-11-2024 17:59:44,0.031s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:59:44,27-11-2024 17:59:54,10.003s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_invalid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:59:54,27-11-2024 17:59:54,0.247s,PASSED
"if (waitForElementVisible(findTestObject(""Object Repository/common/properties/Text/contains_text"", [""text"":""Không tìm thấy kết quả phù hợp!""]), 10))",Chrome 131.0.0.0,"The system shows the message: ""Không tìm thấy kết quả phù hợp!"" when entering invalid search keywords",,27-11-2024 17:59:54,27-11-2024 17:59:54,0.023s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:59:54,27-11-2024 17:59:59,5.007s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:59:59,27-11-2024 17:59:59,0.050s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:59:59,27-11-2024 18:00:02,3.007s,PASSED
closeBrowser(),Chrome 131.0.0.0,Close browser,,27-11-2024 18:00:02,27-11-2024 18:00:03,0.208s,PASSED
,,,,,,,
Test Cases/COOLMATE-002/TC002-Searching products as an authenticated user,Chrome 131.0.0.0,"As an authenticated user,  entering valid and invalid keys to search related products
",S002; TS001-Search Product; Search Box,27-11-2024 18:00:03,27-11-2024 18:01:27,1m - 24.546s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,27-11-2024 18:00:03,27-11-2024 18:00:03,0.000s,PASSED
"common.UtilKeyword.openURLAndAuthentication(username_bao, password_bao)",Chrome 131.0.0.0,Open Coolmate,,27-11-2024 18:00:03,27-11-2024 18:00:34,31.524s,PASSED
"""==========================As an unauthenticated user, entering valid keys to search related products=========================""",Chrome 131.0.0.0,,,27-11-2024 18:00:34,27-11-2024 18:00:34,0.000s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box,,27-11-2024 18:00:34,27-11-2024 18:00:34,0.090s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 18:00:34,27-11-2024 18:00:38,4.003s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), validSearchKeywords)",Chrome 131.0.0.0,Enter valid search keywords,,27-11-2024 18:00:38,27-11-2024 18:00:38,0.044s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 18:00:38,27-11-2024 18:00:48,10.015s,PASSED
"common.UtilKeyword.takeScreenShot(""authen_valid_search"")",Chrome 131.0.0.0,,,27-11-2024 18:00:48,27-11-2024 18:00:49,0.267s,PASSED
"searchResults = findWebElements(findTestObject(""Object Repository/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,27-11-2024 18:00:49,27-11-2024 18:00:49,0.021s,PASSED
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,27-11-2024 18:00:49,27-11-2024 18:00:49,0.001s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,27-11-2024 18:00:49,27-11-2024 18:00:49,0.054s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,27-11-2024 18:00:49,27-11-2024 18:00:49,0.001s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 18:00:49,27-11-2024 18:00:54,5.002s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 18:00:54,27-11-2024 18:00:54,0.053s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 18:00:54,27-11-2024 18:00:57,3.014s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,27-11-2024 18:00:57,27-11-2024 18:00:57,0.001s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box one more time,,27-11-2024 18:00:57,27-11-2024 18:00:57,0.067s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 18:00:57,27-11-2024 18:01:01,4.014s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), invalidSearchKeywords)",Chrome 131.0.0.0,Enter invalid search keywords,,27-11-2024 18:01:01,27-11-2024 18:01:01,0.033s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 18:01:01,27-11-2024 18:01:11,10.005s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_invalid_search"")",Chrome 131.0.0.0,,,27-11-2024 18:01:11,27-11-2024 18:01:11,0.249s,PASSED
