Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectedSize = getAttribute(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":1]), ""innerText"")",Chrome 131.0.0.0,,,02-01-2025 21:19:27,02-01-2025 21:19:27,0.241s,PASSED
"selectedFirstOption.put(""size"", selectedSize)",Chrome 131.0.0.0,,,02-01-2025 21:19:27,02-01-2025 21:19:27,0.000s,PASSED
logInfo(selectedFirstOption.toString()),Chrome 131.0.0.0,,,02-01-2025 21:19:27,02-01-2025 21:19:27,0.000s,PASSED
"mouseOver(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Add first product to cart,,02-01-2025 21:19:27,02-01-2025 21:19:27,0.208s,PASSED
delay(5),Chrome 131.0.0.0,,,02-01-2025 21:19:27,02-01-2025 21:19:32,5.010s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:19:32,02-01-2025 21:19:32,0.384s,PASSED
"common.UtilKeyword.handleToastMessage(""Đã thêm vào giỏ hàng!"", 60)",Chrome 131.0.0.0,,,02-01-2025 21:19:32,02-01-2025 21:19:34,1.356s,PASSED
"common.UtilKeyword.takeScreenShot(""added_first_option"")",Chrome 131.0.0.0,,,02-01-2025 21:19:34,02-01-2025 21:19:34,0.290s,PASSED
delay(3),Chrome 131.0.0.0,,,02-01-2025 21:19:34,02-01-2025 21:19:37,3.004s,PASSED
selectedSecondOption = new java.util.HashMap(),Chrome 131.0.0.0,Collect the second option that will be added to cart,,02-01-2025 21:19:37,02-01-2025 21:19:37,0.006s,PASSED
"selectedSecondOption.put(""name"", productName)",Chrome 131.0.0.0,Collect the second option that will be added to cart,,02-01-2025 21:19:37,02-01-2025 21:19:37,0.002s,PASSED
